Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
351380105000182;1;0;400428;400428;0;3;9;35;84;62;14;8;2;0;3;
351380105000183;1;0;495748;495748;0;5;22;69;157;87;7;4;1;0;17;
351380105000184;1;0;208288;208288;0;4;9;26;56;50;4;2;0;0;1;
351380105000185;1;0;410932;410932;0;2;14;64;95;100;7;3;1;0;15;
351380105000186;1;0;171821;171821;0;2;12;46;56;29;1;1;0;0;12;
351380105000187;1;0;592450;592450;0;4;22;49;103;140;24;4;1;0;15;
351380105000188;1;0;729170;729170;0;2;9;65;174;149;30;6;2;1;25;
351380105000189;1;0;400096;400096;0;0;3;13;50;46;32;15;5;0;9;
351380105000190;1;0;394239;394239;0;1;3;14;64;83;18;9;3;0;5;
351380105000191;1;0;98777;98777;0;1;4;11;25;16;2;1;0;0;4;
351380105000192;1;0;523444;523444;0;0;5;13;67;88;16;10;9;0;8;
351380105000193;1;0;206048;206048;0;0;2;24;44;36;11;3;0;0;5;
351380105000194;1;0;862246;862246;0;2;7;51;104;158;58;38;6;0;19;
351380105000195;1;0;252038;252038;0;0;0;9;20;44;9;6;4;0;4;
351380105000196;1;0;397074;397074;0;0;1;15;37;63;28;13;5;0;11;
351380105000197;1;0;323425;323425;0;1;1;5;36;70;20;9;2;0;3;
351380105000198;1;0;89859;89859;0;0;3;8;24;19;2;1;0;0;1;
351380105000199;1;0;231532;231532;0;1;0;22;49;41;11;2;0;0;4;
351380105000200;1;0;627764;627764;0;1;3;48;112;107;30;9;0;0;7;
351380105000201;1;0;161085;161085;0;0;5;31;42;17;6;1;0;0;12;
351380105000202;1;0;386452;386452;0;0;4;26;45;60;15;6;1;1;9;
351380105000203;1;3;17327;15427;1900;1;3;2;6;3;0;0;0;0;2;
351380105000204;1;0;296898;296898;0;22;32;82;104;44;8;1;0;0;52;
351380105000205;1;0;237936;237936;0;1;10;39;73;36;6;3;0;0;8;
351380105000206;1;0;347650;347650;0;7;7;48;97;61;6;3;2;1;11;
351380105000207;1;0;481763;481763;0;5;13;51;137;87;10;1;0;0;3;
351380105000208;1;0;74498;74498;0;2;5;8;22;11;0;2;0;0;120;
351380105000209;1;0;416735;416735;0;1;2;27;60;72;28;8;1;0;11;
351380105000210;1;1;416557;416557;0;1;9;34;68;83;22;9;0;0;25;
351380105000211;1;0;660911;660911;0;1;14;57;154;129;21;4;1;0;12;
351380105000212;1;0;535019;535019;0;2;1;20;64;106;43;17;0;0;4;
351380105000213;1;0;221790;221790;0;3;15;44;50;27;5;4;0;0;28;
351380105000214;1;0;84496;84496;0;2;5;14;22;10;2;1;0;0;4;
351380105000215;1;0;260673;260673;0;1;8;40;66;52;12;2;0;0;2;
351380105000216;1;0;161023;161023;0;1;3;21;39;29;4;1;0;0;19;
351380105000217;1;0;5161;5161;0;1;5;2;0;0;0;0;0;0;104;
351380105000218;1;0;676196;676196;0;9;29;97;195;144;11;5;0;0;7;
351380105000219;1;0;175587;175587;0;0;4;11;46;36;6;1;0;0;5;
351380105000220;1;0;177817;177817;0;3;9;20;70;35;5;1;0;0;6;
351380105000221;1;0;294216;294216;0;1;3;28;72;70;12;5;0;1;1;
351380105000222;1;0;341475;341475;0;0;4;22;76;51;16;9;0;0;9;
351380105000223;1;0;329333;329333;0;1;1;25;72;54;17;5;3;0;1;
351380105000224;1;0;382149;382149;0;4;13;31;79;75;9;3;0;0;6;
351380105000225;1;0;238633;238633;0;1;6;27;55;46;11;2;1;0;115;
351380105000226;1;0;507145;507145;0;2;6;34;73;106;27;12;0;0;6;
351380105000227;1;0;249907;249907;0;0;3;22;43;51;10;3;1;0;3;
351380105000228;1;0;619121;619121;0;1;6;45;102;116;33;15;1;0;20;
351380105000229;1;0;301182;301182;0;0;6;22;70;62;14;4;0;0;6;
351380105000230;1;1;557877;557367;510;3;11;48;99;117;28;13;1;1;22;
351380105000231;1;0;465536;465536;0;4;7;49;115;93;22;8;1;0;18;
351380105000232;1;0;52214;52214;0;1;0;7;19;8;3;0;0;0;0;
351380105000233;1;0;371682;371682;0;4;9;32;74;67;13;9;3;0;29;
351380105000234;1;0;97498;97498;0;0;4;10;22;12;2;1;1;0;12;
351380105000235;1;0;591794;591794;0;3;4;24;76;96;36;11;5;2;13;
351380105000236;1;0;79592;79592;0;0;1;3;22;15;1;3;0;0;5;
351380105000237;1;0;651671;651671;0;1;2;29;114;103;35;13;4;0;17;
351380105000238;1;0;351194;351194;0;3;7;57;97;68;13;4;1;0;17;
351380105000239;1;0;135384;135384;0;2;11;18;36;23;3;2;0;0;6;
351380105000240;1;0;247845;247845;0;1;6;24;56;39;4;3;2;0;25;
351380105000241;1;0;485129;485129;0;2;13;66;113;98;13;10;0;1;45;
351380105000242;1;0;266598;266598;0;2;11;21;49;51;12;6;0;0;13;
351380105000243;1;0;392724;392724;0;3;12;61;86;74;17;4;0;0;57;
351380105000244;1;0;265905;265905;0;19;33;83;85;42;2;0;0;0;19;
351380105000245;1;0;484862;484862;0;6;16;50;127;100;20;4;1;0;13;
351380105000246;1;0;399724;399724;0;2;8;33;93;81;10;5;3;1;1;
351380105000247;1;0;512579;512579;0;2;14;38;116;88;25;8;3;0;8;
351380105000248;1;1;133896;132696;1200;4;5;24;29;16;4;1;0;0;3;
351380105000249;1;0;539133;539133;0;3;12;46;122;99;25;10;2;1;18;
351380105000250;1;0;499310;499310;0;5;10;50;105;105;21;5;3;0;18;
351380105000251;1;0;224801;224801;0;0;6;30;51;45;8;2;1;0;52;
351380105000252;1;0;338505;338505;0;5;10;33;75;58;19;10;0;0;5;
351380105000253;1;0;189648;189648;0;1;5;26;46;18;8;1;2;1;14;
351380105000254;1;0;846420;846420;0;6;13;60;136;137;41;8;3;1;12;
351380105000255;1;0;276645;276645;0;1;13;37;84;44;10;3;0;0;13;
351380105000256;1;0;423565;423565;0;7;24;82;120;57;9;3;2;0;9;
351380105000257;1;0;1167055;1167055;0;0;6;33;98;95;46;40;24;5;9;
351380105000258;1;0;416357;416357;0;4;15;41;64;72;22;9;1;0;57;
351380105000259;1;0;403955;403955;0;5;12;40;87;69;16;7;1;0;55;
351380105000260;1;0;93637;93637;0;0;1;18;24;21;0;1;0;0;10;
351380105000261;1;1;1021153;1020953;200;5;18;101;211;162;34;10;0;2;12;
351380105000262;1;0;451956;451956;0;1;6;52;110;75;16;8;3;0;30;
